Point	x	y	z
896	0.396	1.225	9.776
897	0.31	1.173	9.949
898	0.31	1.173	9.949
899	0.247	1.11	9.896
900	0.247	1.11	9.896
901	0.247	1.11	9.896
902	0.132	1.048	9.8
903	0.132	1.048	9.8
904	0.108	0.976	9.877
905	0.108	0.976	9.877
906	0.108	0.976	9.877
907	0.171	1.005	10.016
908	0.171	1.005	10.016
909	0.142	1	9.958
910	0.142	1	9.958
911	0.142	1	9.958
912	0.41	1.288	9.599
913	0.41	1.288	9.599
914	0.587	1.35	9.657
915	0.587	1.35	9.657
916	0.587	1.35	9.657
917	0.568	1.484	9.34
918	0.568	1.484	9.34
919	0.42	1.422	9.446
920	0.42	1.422	9.446
921	0.42	1.422	9.446
922	0.29	1.273	9.633
923	0.29	1.273	9.633
924	0.199	1.192	9.848
925	0.199	1.192	9.848
926	0.199	1.192	9.848
927	0.195	1.086	10.006
928	0.204	1.154	9.891
929	0.204	1.154	9.891
930	0.132	1.197	9.618
931	0.132	1.197	9.618
932	0.132	1.197	9.618
933	0.094	1.168	9.628
934	0.094	1.168	9.628
935	0.104	1.173	9.585
936	0.104	1.173	9.585
937	0.104	1.173	9.585
938	0.094	1.192	9.518
939	0.094	1.192	9.518
940	0.228	1.225	9.508
941	0.228	1.225	9.508
942	0.228	1.225	9.508
943	0.314	1.254	9.585
944	0.314	1.254	9.585
945	0.415	1.278	9.647
946	0.415	1.278	9.647
947	0.415	1.278	9.647
948	0.401	1.244	9.7
949	0.401	1.244	9.7
950	0.195	1.096	9.585
951	0.195	1.096	9.585
952	0.195	1.096	9.585
953	0.099	1.072	9.838
954	0.099	1.072	9.838
955	0.094	0.962	9.949
956	0.094	0.962	9.949
957	0.094	0.962	9.949
958	0.089	0.933	10.049
959	0.089	0.933	10.049
960	0.152	0.943	10.083
961	0.152	0.943	10.083
962	0.152	0.943	10.083
963	0.171	0.933	10.054
964	0.171	0.933	10.054
965	0.223	0.928	9.853
966	0.223	0.928	9.853
967	0.3	0.967	9.757
968	0.3	0.967	9.757
969	0.429	1.077	9.657
